#,Name,Type 1,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Mood
169,Crobat,Poison,535,85,90,80,70,80,130,0
170,Chinchou,Water,330,75,38,38,56,56,67,0
171,Lanturn,Water,460,125,58,58,76,76,67,0
172,Pichu,Electric,205,20,40,15,35,35,60,0
173,Cleffa,Fairy,218,50,25,28,45,55,15,0
174,Igglybuff,Normal,210,90,30,15,40,20,15,0
175,Togepi,Fairy,245,35,20,65,40,65,20,0
176,Togetic,Fairy,405,55,40,85,80,105,40,0
177,Natu,Psychic,320,40,50,45,70,45,70,0
178,Xatu,Psychic,470,65,75,70,95,70,95,0
179,Mareep,Electric,280,55,40,40,65,45,35,0
180,Flaaffy,Electric,365,70,55,55,80,60,45,0
181,Ampharos,Electric,510,90,75,85,115,90,55,0
182,Bellossom,Grass,490,75,80,95,90,100,50,0
183,Marill,Water,250,70,20,50,20,50,40,0
184,Azumarill,Water,420,100,50,80,60,80,50,0
185,Sudowoodo,Rock,410,70,100,115,30,65,30,0
186,Politoed,Water,500,90,75,75,90,100,70,0
187,Hoppip,Grass,250,35,35,40,35,55,50,0
188,Skiploom,Grass,340,55,45,50,45,65,80,0
189,Jumpluff,Grass,460,75,55,70,55,95,110,0
190,Aipom,Normal,360,55,70,55,40,55,85,0
191,Sunkern,Grass,180,30,30,30,30,30,30,0
192,Sunflora,Grass,425,75,75,55,105,85,30,0
193,Yanma,Bug,390,65,65,45,75,45,95,0
194,Wooper,Water,210,55,45,45,25,25,15,0
195,Quagsire,Water,430,95,85,85,65,65,35,0
196,Espeon,Psychic,525,65,65,60,130,95,110,0
197,Umbreon,Dark,525,95,65,110,60,130,65,0
198,Murkrow,Dark,405,60,85,42,85,42,91,0
199,Slowking,Water,490,95,75,80,100,110,30,0
200,Misdreavus,Ghost,435,60,60,60,85,85,85,0
201,Unown,Psychic,336,48,72,48,72,48,48,0
202,Wobbuffet,Psychic,405,190,33,58,33,58,33,0
203,Girafarig,Normal,455,70,80,65,90,65,85,0
204,Pineco,Bug,290,50,65,90,35,35,15,0
205,Forretress,Bug,465,75,90,140,60,60,40,0
206,Dunsparce,Normal,415,100,70,70,65,65,45,0
207,Gligar,Ground,430,65,75,105,35,65,85,0
208,Steelix,Steel,510,75,85,200,55,65,30,0
209,Snubbull,Fairy,300,60,80,50,40,40,30,0
210,Granbull,Fairy,450,90,120,75,60,60,45,0
211,Qwilfish,Water,430,65,95,75,55,55,85,0
212,Scizor,Bug,500,70,130,100,55,80,65,0
213,Shuckle,Bug,505,20,10,230,10,230,5,0
214,Heracross,Bug,500,80,125,75,40,95,85,0
215,Sneasel,Dark,430,55,95,55,35,75,115,0
216,Teddiursa,Normal,330,60,80,50,50,50,40,0
217,Ursaring,Normal,500,90,130,75,75,75,55,0
218,Slugma,Fire,250,40,40,40,70,40,20,0
219,Magcargo,Fire,410,50,50,120,80,80,30,0
220,Swinub,Ice,250,50,50,40,30,30,50,0
221,Piloswine,Ice,450,100,100,80,60,60,50,0
222,Corsola,Water,380,55,55,85,65,85,35,0
223,Remoraid,Water,300,35,65,35,65,35,65,0
224,Octillery,Water,480,75,105,75,105,75,45,0
225,Delibird,Ice,330,45,55,45,65,45,75,0
226,Mantine,Water,465,65,40,70,80,140,70,0
227,Skarmory,Steel,465,65,80,140,40,70,70,0
228,Houndour,Dark,330,45,60,30,80,50,65,0
229,Houndoom,Dark,500,75,90,50,110,80,95,0
230,Kingdra,Water,540,75,95,95,95,95,85,0
231,Phanpy,Ground,330,90,60,60,40,40,40,0
232,Donphan,Ground,500,90,120,120,60,60,50,0
233,Porygon2,Normal,515,85,80,90,105,95,60,0
234,Stantler,Normal,465,73,95,62,85,65,85,0
235,Smeargle,Normal,250,55,20,35,20,45,75,0
236,Tyrogue,Fighting,210,35,35,35,35,35,35,0
237,Hitmontop,Fighting,455,50,95,95,35,110,70,0
238,Smoochum,Ice,305,45,30,15,85,65,65,0
239,Elekid,Electric,360,45,63,37,65,55,95,0
240,Magby,Fire,365,45,75,37,70,55,83,0
241,Miltank,Normal,490,95,80,105,40,70,100,0
242,Blissey,Normal,540,255,10,10,75,135,55,0
243,Raikou,Electric,580,90,85,75,115,100,115,0
244,Entei,Fire,580,115,115,85,90,75,100,0
245,Suicune,Water,580,100,75,115,90,115,85,0
246,Larvitar,Rock,300,50,64,50,45,50,41,0
247,Pupitar,Rock,410,70,84,70,65,70,51,0
248,Tyranitar,Rock,600,100,134,110,95,100,61,0
249,Lugia,Psychic,680,106,90,130,90,154,110,0
250,Ho-oh,Fire,680,106,130,90,110,154,90,0
251,Celebi,Psychic,600,100,100,100,100,100,100,0
252,Treecko,Grass,310,40,45,35,65,55,70,0
253,Grovyle,Grass,405,50,65,45,85,65,95,0
254,Sceptile,Grass,530,70,85,65,105,85,120,0
255,Torchic,Fire,310,45,60,40,70,50,45,0
256,Combusken,Fire,405,60,85,60,85,60,55,0
257,Blaziken,Fire,530,80,120,70,110,70,80,0
258,Mudkip,Water,310,50,70,50,50,50,40,0
259,Marshtomp,Water,405,70,85,70,60,70,50,0
260,Swampert,Water,535,100,110,90,85,90,60,0
261,Poochyena,Dark,220,35,55,35,30,30,35,0
262,Mightyena,Dark,420,70,90,70,60,60,70,0
263,Zigzagoon,Normal,240,38,30,41,30,41,60,0
264,Linoone,Normal,420,78,70,61,50,61,100,0
265,Wurmple,Bug,195,45,45,35,20,30,20,0
266,Silcoon,Bug,205,50,35,55,25,25,15,0
267,Beautifly,Bug,395,60,70,50,100,50,65,0
268,Cascoon,Bug,205,50,35,55,25,25,15,0
269,Dustox,Bug,385,60,50,70,50,90,65,0
270,Lotad,Water,220,40,30,30,40,50,30,0
271,Lombre,Water,340,60,50,50,60,70,50,0
272,Ludicolo,Water,480,80,70,70,90,100,70,0
273,Seedot,Grass,220,40,40,50,30,30,30,0
274,Nuzleaf,Grass,340,70,70,40,60,40,60,0
275,Shiftry,Grass,480,90,100,60,90,60,80,0
276,Taillow,Normal,270,40,55,30,30,30,85,0
277,Swellow,Normal,430,60,85,60,50,50,125,0
278,Wingull,Water,270,40,30,30,55,30,85,0
279,Pelipper,Water,430,60,50,100,85,70,65,0
280,Ralts,Psychic,198,28,25,25,45,35,40,0
281,Kirlia,Psychic,278,38,35,35,65,55,50,0
282,Gardevoir,Psychic,518,68,65,65,125,115,80,0
283,Surskit,Bug,269,40,30,32,50,52,65,0
284,Masquerain,Bug,414,70,60,62,80,82,60,0
285,Shroomish,Grass,295,60,40,60,40,60,35,0
286,Breloom,Grass,460,60,130,80,60,60,70,0
287,Slakoth,Normal,280,60,60,60,35,35,30,0
288,Vigoroth,Normal,440,80,80,80,55,55,90,0
289,Slaking,Normal,670,150,160,100,95,65,100,0
290,Nincada,Bug,266,31,45,90,30,30,40,0
291,Ninjask,Bug,456,61,90,45,50,50,160,0
292,Shedinja,Bug,236,1,90,45,30,30,40,0
293,Whismur,Normal,240,64,51,23,51,23,28,0
294,Loudred,Normal,360,84,71,43,71,43,48,0
295,Exploud,Normal,490,104,91,63,91,73,68,0
296,Makuhita,Fighting,237,72,60,30,20,30,25,0
297,Hariyama,Fighting,474,144,120,60,40,60,50,0
298,Azurill,Normal,190,50,20,40,20,40,20,0
299,Nosepass,Rock,375,30,45,135,45,90,30,0
300,Skitty,Normal,260,50,45,45,35,35,50,0
301,Delcatty,Normal,380,70,65,65,55,55,70,0
302,Sableye,Dark,380,50,75,75,65,65,50,0
303,Mawile,Steel,380,50,85,85,55,55,50,0
304,Aron,Steel,330,50,70,100,40,40,30,0
305,Lairon,Steel,430,60,90,140,50,50,40,0
306,Aggron,Steel,530,70,110,180,60,60,50,0
307,Meditite,Fighting,280,30,40,55,40,55,60,0
308,Medicham,Fighting,410,60,60,75,60,75,80,0
309,Electrike,Electric,295,40,45,40,65,40,65,0
310,Manectric,Electric,475,70,75,60,105,60,105,0
311,Plusle,Electric,405,60,50,40,85,75,95,0
312,Minun,Electric,405,60,40,50,75,85,95,0
313,Volbeat,Bug,400,65,73,55,47,75,85,0
314,Illumise,Bug,400,65,47,55,73,75,85,0
315,Roselia,Grass,400,50,60,45,100,80,65,0
316,Gulpin,Poison,302,70,43,53,43,53,40,0
317,Swalot,Poison,467,100,73,83,73,83,55,0
318,Carvanha,Water,305,45,90,20,65,20,65,0
319,Sharpedo,Water,460,70,120,40,95,40,95,0
320,Wailmer,Water,400,130,70,35,70,35,60,0
321,Wailord,Water,500,170,90,45,90,45,60,0
322,Numel,Fire,305,60,60,40,65,45,35,0
323,Camerupt,Fire,460,70,100,70,105,75,40,0
324,Torkoal,Fire,470,70,85,140,85,70,20,0
325,Spoink,Psychic,330,60,25,35,70,80,60,0
326,Grumpig,Psychic,470,80,45,65,90,110,80,0
327,Spinda,Normal,360,60,60,60,60,60,60,0
328,Trapinch,Ground,290,45,100,45,45,45,10,0
329,Vibrava,Ground,340,50,70,50,50,50,70,0
330,Flygon,Ground,520,80,100,80,80,80,100,0
331,Cacnea,Grass,335,50,85,40,85,40,35,0
332,Cacturne,Grass,475,70,115,60,115,60,55,0
333,Swablu,Normal,310,45,40,60,40,75,50,0
334,Altaria,Dragon,490,75,70,90,70,105,80,0
335,Zangoose,Normal,458,73,115,60,60,60,90,0
336,Seviper,Poison,458,73,100,60,100,60,65,0
337,Lunatone,Rock,440,70,55,65,95,85,70,0
338,Solrock,Rock,440,70,95,85,55,65,70,0
339,Barboach,Water,288,50,48,43,46,41,60,0
340,Whiscash,Water,468,110,78,73,76,71,60,0
341,Corphish,Water,308,43,80,65,50,35,35,0
342,Crawdaunt,Water,468,63,120,85,90,55,55,0
343,Baltoy,Ground,300,40,40,55,40,70,55,0
344,Claydol,Ground,500,60,70,105,70,120,75,0
345,Lileep,Rock,355,66,41,77,61,87,23,0
346,Cradily,Rock,495,86,81,97,81,107,43,0
347,Anorith,Rock,355,45,95,50,40,50,75,0
348,Armaldo,Rock,495,75,125,100,70,80,45,0
349,Feebas,Water,200,20,15,20,10,55,80,0
350,Milotic,Water,540,95,60,79,100,125,81,0
351,Castform,Normal,420,70,70,70,70,70,70,0
352,Kecleon,Normal,440,60,90,70,60,120,40,0
353,Shuppet,Ghost,295,44,75,35,63,33,45,0
354,Banette,Ghost,455,64,115,65,83,63,65,0
355,Duskull,Ghost,295,20,40,90,30,90,25,0
356,Dusclops,Ghost,455,40,70,130,60,130,25,0
357,Tropius,Grass,460,99,68,83,72,87,51,0
358,Chimecho,Psychic,425,65,50,70,95,80,65,0
359,Absol,Dark,465,65,130,60,75,60,75,0
360,Wynaut,Psychic,260,95,23,48,23,48,23,0
361,Snorunt,Ice,300,50,50,50,50,50,50,0
362,Glalie,Ice,480,80,80,80,80,80,80,0
363,Spheal,Ice,290,70,40,50,55,50,25,0
364,Sealeo,Ice,410,90,60,70,75,70,45,0
365,Walrein,Ice,530,110,80,90,95,90,65,0
366,Clamperl,Water,345,35,64,85,74,55,32,0
367,Huntail,Water,485,55,104,105,94,75,52,0
368,Gorebyss,Water,485,55,84,105,114,75,52,0
369,Relicanth,Water,485,100,90,130,45,65,55,0
370,Luvdisc,Water,330,43,30,55,40,65,97,0
371,Bagon,Dragon,300,45,75,60,40,30,50,0
372,Shelgon,Dragon,420,65,95,100,60,50,50,0
373,Salamence,Dragon,600,95,135,80,110,80,100,0
374,Beldum,Steel,300,40,55,80,35,60,30,0
375,Metang,Steel,420,60,75,100,55,80,50,0
376,Metagross,Steel,600,80,135,130,95,90,70,0
377,Regirock,Rock,580,80,100,200,50,100,50,0
378,Regice,Ice,580,80,50,100,100,200,50,0
379,Registeel,Steel,580,80,75,150,75,150,50,0
380,Latias,Dragon,600,80,80,90,110,130,110,0
381,Latios,Dragon,600,80,90,80,130,110,110,0
382,Kyogre,Water,670,100,100,90,150,140,90,0
383,Groudon,Ground,670,100,150,140,100,90,90,0
384,Rayquaza,Dragon,680,105,150,90,150,90,95,0
385,Jirachi,Steel,600,100,100,100,100,100,100,0
386,DeoxysNormal Forme,Psychic,600,50,150,50,150,50,150,0
387,Turtwig,Grass,318,55,68,64,45,55,31,0
388,Grotle,Grass,405,75,89,85,55,65,36,0
389,Torterra,Grass,525,95,109,105,75,85,56,0
390,Chimchar,Fire,309,44,58,44,58,44,61,0
391,Monferno,Fire,405,64,78,52,78,52,81,0
392,Infernape,Fire,534,76,104,71,104,71,108,0
393,Piplup,Water,314,53,51,53,61,56,40,0
394,Prinplup,Water,405,64,66,68,81,76,50,0
395,Empoleon,Water,530,84,86,88,111,101,60,0
396,Starly,Normal,245,40,55,30,30,30,60,0
397,Staravia,Normal,340,55,75,50,40,40,80,0
398,Staraptor,Normal,485,85,120,70,50,60,100,0
399,Bidoof,Normal,250,59,45,40,35,40,31,0
400,Bibarel,Normal,410,79,85,60,55,60,71,0
401,Kricketot,Bug,194,37,25,41,25,41,25,0
402,Kricketune,Bug,384,77,85,51,55,51,65,0
403,Shinx,Electric,263,45,65,34,40,34,45,0
404,Luxio,Electric,363,60,85,49,60,49,60,0
405,Luxray,Electric,523,80,120,79,95,79,70,0
406,Budew,Grass,280,40,30,35,50,70,55,0
407,Roserade,Grass,515,60,70,65,125,105,90,0
408,Cranidos,Rock,350,67,125,40,30,30,58,0
409,Rampardos,Rock,495,97,165,60,65,50,58,0
410,Shieldon,Rock,350,30,42,118,42,88,30,0
411,Bastiodon,Rock,495,60,52,168,47,138,30,0
412,Burmy,Bug,224,40,29,45,29,45,36,0
413,WormadamPlant Cloak,Bug,424,60,59,85,79,105,36,0
414,Mothim,Bug,424,70,94,50,94,50,66,0
415,Combee,Bug,244,30,30,42,30,42,70,0
416,Vespiquen,Bug,474,70,80,102,80,102,40,0
417,Pachirisu,Electric,405,60,45,70,45,90,95,0
418,Buizel,Water,330,55,65,35,60,30,85,0
419,Floatzel,Water,495,85,105,55,85,50,115,0
420,Cherubi,Grass,275,45,35,45,62,53,35,0
421,Cherrim,Grass,450,70,60,70,87,78,85,0
422,Shellos,Water,325,76,48,48,57,62,34,0
423,Gastrodon,Water,475,111,83,68,92,82,39,0
424,Ambipom,Normal,482,75,100,66,60,66,115,0
425,Drifloon,Ghost,348,90,50,34,60,44,70,0
426,Drifblim,Ghost,498,150,80,44,90,54,80,0
427,Buneary,Normal,350,55,66,44,44,56,85,0
428,Lopunny,Normal,480,65,76,84,54,96,105,0
429,Mismagius,Ghost,495,60,60,60,105,105,105,0
430,Honchkrow,Dark,505,100,125,52,105,52,71,0
431,Glameow,Normal,310,49,55,42,42,37,85,0
432,Purugly,Normal,452,71,82,64,64,59,112,0
433,Chingling,Psychic,285,45,30,50,65,50,45,0
434,Stunky,Poison,329,63,63,47,41,41,74,0
435,Skuntank,Poison,479,103,93,67,71,61,84,0
436,Bronzor,Steel,300,57,24,86,24,86,23,0
437,Bronzong,Steel,500,67,89,116,79,116,33,0
438,Bonsly,Rock,290,50,80,95,10,45,10,0
439,Mime Jr.,Psychic,310,20,25,45,70,90,60,0
440,Happiny,Normal,220,100,5,5,15,65,30,0
441,Chatot,Normal,411,76,65,45,92,42,91,0
442,Spiritomb,Ghost,485,50,92,108,92,108,35,0
443,Gible,Dragon,300,58,70,45,40,45,42,0
444,Gabite,Dragon,410,68,90,65,50,55,82,0
445,Garchomp,Dragon,600,108,130,95,80,85,102,0
446,Munchlax,Normal,390,135,85,40,40,85,5,0
447,Riolu,Fighting,285,40,70,40,35,40,60,0
448,Lucario,Fighting,525,70,110,70,115,70,90,0
449,Hippopotas,Ground,330,68,72,78,38,42,32,0
450,Hippowdon,Ground,525,108,112,118,68,72,47,0
451,Skorupi,Poison,330,40,50,90,30,55,65,0
452,Drapion,Poison,500,70,90,110,60,75,95,0
453,Croagunk,Poison,300,48,61,40,61,40,50,0
454,Toxicroak,Poison,490,83,106,65,86,65,85,0
455,Carnivine,Grass,454,74,100,72,90,72,46,0
456,Finneon,Water,330,49,49,56,49,61,66,0
457,Lumineon,Water,460,69,69,76,69,86,91,0
458,Mantyke,Water,345,45,20,50,60,120,50,0
459,Snover,Grass,334,60,62,50,62,60,40,0
460,Abomasnow,Grass,494,90,92,75,92,85,60,0
461,Weavile,Dark,510,70,120,65,45,85,125,0
462,Magnezone,Electric,535,70,70,115,130,90,60,0
463,Lickilicky,Normal,515,110,85,95,80,95,50,0
464,Rhyperior,Ground,535,115,140,130,55,55,40,0
465,Tangrowth,Grass,535,100,100,125,110,50,50,0
466,Electivire,Electric,540,75,123,67,95,85,95,0
467,Magmortar,Fire,540,75,95,67,125,95,83,0
468,Togekiss,Fairy,545,85,50,95,120,115,80,0
469,Yanmega,Bug,515,86,76,86,116,56,95,0
470,Leafeon,Grass,525,65,110,130,60,65,95,0
471,Glaceon,Ice,525,65,60,110,130,95,65,0
472,Gliscor,Ground,510,75,95,125,45,75,95,0
473,Mamoswine,Ice,530,110,130,80,70,60,80,0
474,Porygon-Z,Normal,535,85,80,70,135,75,90,0
475,Gallade,Psychic,518,68,125,65,65,115,80,0
476,Probopass,Rock,525,60,55,145,75,150,40,0
477,Dusknoir,Ghost,525,45,100,135,65,135,45,0
478,Froslass,Ice,480,70,80,70,80,70,110,0
479,Rotom,Electric,440,50,50,77,95,77,91,0
480,Uxie,Psychic,580,75,75,130,75,130,95,0
481,Mesprit,Psychic,580,80,105,105,105,105,80,0
482,Azelf,Psychic,580,75,125,70,125,70,115,0
483,Dialga,Steel,680,100,120,120,150,100,90,0
484,Palkia,Water,680,90,120,100,150,120,100,0
485,Heatran,Fire,600,91,90,106,130,106,77,0
486,Regigigas,Normal,670,110,160,110,80,110,100,0
487,GiratinaAltered Forme,Ghost,680,150,100,120,100,120,90,0
488,Cresselia,Psychic,600,120,70,120,75,130,85,0
489,Phione,Water,480,80,80,80,80,80,80,0
490,Manaphy,Water,600,100,100,100,100,100,100,0
491,Darkrai,Dark,600,70,90,90,135,90,125,0
492,ShayminLand Forme,Grass,600,100,100,100,100,100,100,0
493,Arceus,Normal,720,120,120,120,120,120,120,0
494,Victini,Psychic,600,100,100,100,100,100,100,0
495,Snivy,Grass,308,45,45,55,45,55,63,0
496,Servine,Grass,413,60,60,75,60,75,83,0
497,Serperior,Grass,528,75,75,95,75,95,113,0
498,Tepig,Fire,308,65,63,45,45,45,45,0
499,Pignite,Fire,418,90,93,55,70,55,55,0
500,Emboar,Fire,528,110,123,65,100,65,65,0
501,Oshawott,Water,308,55,55,45,63,45,45,0
502,Dewott,Water,413,75,75,60,83,60,60,0
